Unnamed: 0,position,name,matches,Age,goals,assists,weekly_wages,annual_wages
149,Centre-Forward,H. Kane,13,32,20,3,480000,24960000
150,Left Winger,Luis Díaz,13,28,7,4,270000,14040000
151,Centre-Forward,N. Jackson,9,24,2,1,145000,7540000
152,Left Winger,S. Gnabry,11,30,3,4,365000,18980000
153,Left Winger,W. Mike,2,17,0,0,5000,260000
156,Centre-Back,Natan,12,24,0,1,60000,3120000
157,Centre-Back,V. Gómez,10,22,0,0,25000,1300000
158,Left-Back,J. Firpo,8,29,0,1,72000,3744000
159,Centre-Back,D. Llorente,1,32,0,0,60000,3120000
160,Right-Back,Á. Ortiz,4,21,0,0,12000,624000
161,Right-Back,H. Bellerín,10,30,0,1,60000,3120000
162,Left-Back,R. Rodríguez,9,33,0,1,48000,2496000
163,Centre-Back,M. Bartra,7,34,1,0,48000,2496000
164,Central Midfield,S. Altimira,10,24,0,1,40000,2080000
165,Attacking Midfield,G. Lo Celso,12,29,2,2,100000,5200000
166,Defensive Midfield,S. Amrabat,7,29,0,0,120000,6240000
167,Central Midfield,N. Deossa,4,25,0,0,45000,2340000
168,Central Midfield,P. Fornals,13,29,2,4,60000,3120000
169,Defensive Midfield,Marc Roca,7,28,0,1,48000,2496000
170,Right Winger,Antony,8,25,3,1,120000,6240000
171,Centre-Forward,C. Hernández,12,26,4,1,80000,4160000
172,Left Winger,A. Ezzalzouli,9,23,2,1,28000,1456000
173,Left Winger,R. Riquelme,11,25,0,1,60000,3120000
174,Right Winger,P. García,7,19,0,0,16000,832000
175,Right Winger,A. Ruibal,9,29,1,0,32000,1664000
176,Centre-Forward,C. Ávila,5,31,0,0,40000,2080000
177,Centre-Forward,C. Bakambu,10,34,2,0,52000,2704000
179,Centre-Back,D. Vivian,11,26,0,0,70000,3640000
180,Centre-Back,A. Paredes,10,25,1,0,40000,2080000
181,Right-Back,J. Areso,11,26,0,1,40000,2080000
182,Centre-Back,A. Laporte,8,31,0,0,200000,10400000
183,Right-Back,A. Gorosabel,6,29,0,0,30000,1560000
184,Left-Back,A. Boiro,2,23,0,0,8000,416000
185,Right-Back,I. Lekue,4,32,0,0,20000,1040000
186,Left-Back,Y. Berchiche,12,35,0,1,83000,4316000
187,Attacking Midfield,O. Sancet,10,25,1,0,80000,4160000
188,Central Midfield,M. Jauregizar,13,21,1,2,40000,2080000
189,Central Midfield,B. Prados,2,24,0,0,28000,1456000
190,Attacking Midfield,U. Gómez,7,22,0,0,7000,364000
191,Central Midfield,I. Ruiz de Galarreta,11,32,0,0,30000,1560000
192,Defensive Midfield,M. Vesga,10,32,0,0,40000,2080000
193,Left Winger,N. Williams,7,23,1,2,320000,16640000
194,Right Winger,I. Williams,12,31,1,0,220000,11440000
195,Centre-Forward,M. Sannadi,9,24,1,0,16000,832000
196,Left Winger,Á. Berenguer,10,30,0,1,60000,3120000
197,Centre-Forward,G. Guruzeta,11,29,3,0,40000,2080000
198,Right Winger,R. Navarro,12,23,2,0,20000,1040000
199,Centre-Forward,Urko Izeta,3,26,0,0,8000,416000
200,Left Winger,N. Serrano,5,22,0,0,6000,312000
202,Centre-Back,B. Diakité,8,24,0,0,70000,3640000
203,Centre-Back,M. Senesi,10,28,0,2,50000,2600000
204,Left-Back,A. Truffert,9,23,0,1,35000,1820000
205,Right-Back,Á. Jiménez,6,20,0,0,18000,936000
206,Centre-Back,V. Milosavljevic,3,18,0,0,25000,1300000
207,Right-Back,J. Araujo,1,24,0,0,25000,1300000
208,Left-Back,J. Soler,2,20,0,0,20000,1040000
209,Centre-Back,J. Hill,8,23,0,0,25000,1300000
210,Right-Back,A. Smith,3,34,0,0,40000,2080000
211,Attacking Midfield,J. Kluivert,9,26,1,0,80000,4160000
212,Central Midfield,A. Scott,10,22,1,0,40000,2080000
213,Defensive Midfield,T. Adams,10,26,0,1,60000,3120000
214,Left Midfield,M. Tavernier,9,26,2,1,65000,3380000
215,Central Midfield,L. Cook,3,28,0,0,60000,3120000
216,Central Midfield,R. Christie,8,30,1,0,70000,3640000
217,Defensive Midfield,B. Winterburn,1,21,0,0,2000,104000
218,Right Winger,A. Semenyo,10,25,6,3,75000,3900000
219,Centre-Forward,Evanilson,8,26,1,1,85000,4420000
220,Left Winger,A. Adli,8,25,0,0,60000,3120000
221,Right Winger,B. Gannon-Doak,4,19,0,1,30000,1560000
222,Centre-Forward,E. Kroupi,7,19,4,0,20000,1040000
223,Right Winger,D. Brooks,9,28,0,1,50000,2600000
224,Centre-Forward,Enes Ünal,1,28,0,0,15000,780000
227,Centre-Back,N. Collins,12,24,1,0,30000,1560000
228,Centre-Back,S. van den Berg,12,23,0,0,20000,1040000
229,Right-Back,M. Kayode,12,21,0,0,40000,2080000
230,Centre-Back,K. Ajer,8,27,0,2,40000,2080000
231,Right-Back,A. Hickey,7,23,1,0,70000,3640000
232,Left-Back,R. Henry,10,28,0,0,35000,1820000
233,Centre-Back,E. Pinnock,4,32,0,0,30000,1560000
234,Centre-Back,B. Arthur,2,20,0,0,8000,416000
235,Attacking Midfield,M. Damsgaard,8,25,1,1,75000,3900000
236,Left Midfield,K. Lewis-Potter,9,24,1,2,50000,2600000
237,Attacking Midfield,A. Milambo,3,20,0,0,30000,1560000
238,Central Midfield,Y. Yarmolyuk,11,21,0,1,25000,1300000
239,Defensive Midfield,V. Janelt,7,27,0,0,30000,1560000
240,Central Midfield,M. Jensen,9,29,3,1,50000,2600000
241,Attacking Midfield,F. Carvalho,8,23,3,1,40000,2080000
242,Central Midfield,F. Onyeka,9,27,0,2,40000,2080000
243,Defensive Midfield,J. Henderson,9,35,0,2,75000,3900000
244,Left Winger,D. Ouattara,11,23,2,1,65000,3380000
245,Left Winger,K. Schade,11,23,2,1,10000,520000
246,Centre-Forward,I. Thiago,10,24,7,0,50000,2600000
247,Left Winger,R. Nelson,2,25,1,1,70000,3640000
248,Right Winger,R. Donovan,1,18,0,0,15000,780000
251,Centre-Back,J. van Hecke,10,25,1,0,50000,2600000
252,Left-Back,F. Kadıoğlu,10,26,0,0,87500,4550000
253,Centre-Back,O. Boscagli,2,27,1,0,60000,3120000
254,Left-Back,M. De Cuyper,8,24,1,0,55000,2860000
255,Centre-Back,D. Coppola,5,21,0,2,25000,1300000
256,Centre-Back,L. Dunk,9,33,0,0,80000,4160000
257,Right-Back,J. Veltman,6,33,0,1,50000,2600000
258,Defensive Midfield,C. Baleba,11,21,0,0,12500,650000
259,Central Midfield,Y. Ayari,10,22,2,0,8000,416000
260,Defensive Midfield,M. Wieffer,7,25,0,1,60000,3120000
261,Defensive Midfield,J. Hinshelwood,4,20,0,0,25000,1300000
262,Central Midfield,D. Gómez,10,22,5,0,25000,1300000
263,Central Midfield,J. Milner,9,39,1,1,60000,3120000
264,Right Winger,Y. Minteh,9,21,1,2,40000,2080000
265,Left Winger,K. Mitoma,6,28,1,1,80000,4160000
266,Centre-Forward,G. Rutter,8,23,0,3,75000,3900000
267,Right Winger,B. Gruda,8,21,2,2,50000,2600000
268,Centre-Forward,C. Kostoulas,4,18,1,0,40000,2080000
269,Centre-Forward,S. Tzimas,7,19,2,2,20000,1040000
270,Left Winger,T. Watson,3,19,1,3,20000,1040000
271,Centre-Forward,D. Welbeck,10,34,5,1,60000,3120000
274,Centre-Back,M. Estève,9,23,0,0,50000,2600000
275,Left-Back,Q. Hartman,9,23,4,0,45000,2340000
276,Centre-Back,B. Humphreys,3,22,0,0,40000,2080000
277,Centre-Back,J. Worrall,6,28,0,0,40000,2080000
278,Centre-Back,A. Tuanzebe,5,27,0,0,45000,2340000
279,Left-Back,Lucas Pires,2,24,0,0,20000,1040000
280,Centre-Back,H. Ekdal,7,27,0,0,25000,1300000
281,Right-Back,O. Sonne,5,24,0,1,10000,520000
282,Right-Back,K. Walker,9,35,1,0,75000,3900000
283,Defensive Midfield,L. Ugochukwu,9,21,0,2,55000,2860000
284,Defensive Midfield,Florentino,6,26,1,0,40000,2080000
285,Attacking Midfield,Hannibal,9,22,1,0,1000,52000
286,Central Midfield,J. Cullen,9,29,1,1,55000,2860000
287,Attacking Midfield,M. Tresor,2,26,1,0,30000,1560000
288,Central Midfield,J. Laurent,10,30,0,0,20000,1040000
289,Right Winger,L. Tchaouna,9,22,0,1,45000,2340000
290,Left Winger,J. Anthony,9,25,1,4,45000,2340000
291,Centre-Forward,A. Broja,5,24,1,0,45000,2340000
292,Right Winger,M. Edwards,3,26,1,0,50000,2600000
293,Centre-Forward,L. Foster,8,25,1,2,1000,52000
294,Centre-Forward,Z. Flemming,8,27,0,3,20000,1040000
295,Left Winger,J. Bruun Larsen,7,27,1,0,45000,2340000
296,Left Winger,J. Banel,2,21,0,0,10000,520000
297,Centre-Forward,A. Barnes,3,35,0,0,25000,1300000
300,Left-Back,M. Cucurella,12,27,0,2,175000,9100000
301,Left-Back,J. Hato,6,19,0,0,120000,6240000
302,Right-Back,R. James,11,25,1,2,250000,13000000
303,Right-Back,M. Gusto,10,22,0,2,45000,2340000
304,Centre-Back,T. Chalobah,12,26,2,0,50000,2600000
305,Centre-Back,W. Fofana,5,24,0,1,200000,10400000
306,Centre-Back,T. Adarabioyo,8,28,0,0,120000,6240000
307,Centre-Back,B. Badiashile,3,24,0,0,90000,4680000
308,Centre-Back,J. Acheampong,7,19,1,0,5000,260000
309,Attacking Midfield,C. Palmer,4,23,2,0,130000,6760000
310,Defensive Midfield,M. Caicedo,12,23,4,0,150000,7800000
311,Central Midfield,E. Fernández,12,24,4,1,180000,9360000
312,Central Midfield,A. Santos,10,21,0,1,35000,1820000
313,Defensive Midfield,R. Lavia,4,21,0,0,45000,2340000
314,Attacking Midfield,F. Buonanotte,4,20,1,0,25000,1300000
315,Centre-Forward,João Pedro,11,24,2,3,125000,6500000
316,Right Winger,Estêvão,12,18,2,1,60000,3120000
317,Right Winger,P. Neto,12,25,2,2,160000,8320000
318,Left Winger,J. Gittens,10,21,0,1,108000,5616000
319,Left Winger,A. Garnacho,7,21,1,0,110000,5720000
320,Centre-Forward,L. Delap,3,22,0,0,100000,5200000
321,Left Winger,T. George,7,19,2,1,7500,390000
322,Centre-Forward,Marc Guiu,4,19,1,0,50000,2600000
325,Centre-Back,M. Guéhi,15,25,1,2,50000,2600000
326,Centre-Back,M. Lacroix,15,25,0,1,50000,2600000
327,Right-Back,D. Muñoz,15,29,2,2,60000,3120000
328,Left-Back,T. Mitchell,12,26,1,0,40000,2080000
329,Centre-Back,C. Richards,13,25,1,0,55000,2860000
330,Centre-Back,J. Canvot,2,19,0,0,25000,1300000
331,Left-Back,B. Sosa,6,27,0,0,35000,1820000
332,Right-Back,N. Clyne,1,34,0,0,50000,2600000
333,Left-Back,R. Cardines,1,19,0,0,5000,260000
334,Defensive Midfield,A. Wharton,13,21,0,1,35000,1820000
335,Attacking Midfield,D. Kamada,12,29,0,1,105000,5460000
336,Defensive Midfield,J. Lerma,14,31,0,0,70000,3640000
337,Attacking Midfield,J. Devenny,12,22,0,0,20000,1040000
338,Central Midfield,W. Hughes,12,30,0,1,60000,3120000
339,Centre-Forward,J. Mateta,15,28,7,0,50000,2600000
340,Right Winger,I. Sarr,12,27,4,2,70000,3640000
341,Right Winger,Y. Pino,10,23,0,2,60000,3120000
342,Centre-Forward,E. Nketiah,7,26,2,0,90000,4680000
343,Right Winger,R. Esse,3,20,0,0,15000,780000
345,Centre-Back,N. Schlotterbeck,8,25,0,0,90000,4680000
346,Right-Back,J. Ryerson,11,27,0,4,96000,4992000
347,Centre-Back,W. Anton,13,29,1,0,100000,5200000
348,Centre-Back,N. Süle,3,30,0,0,192000,9984000
349,Centre-Back,A. Anselmino,3,20,0,0,40000,2080000
350,Centre-Back,R. Bensebaini,12,30,2,1,87000,4524000
351,Centre-Back,F. Mane,3,20,0,0,7000,364000
352,Central Midfield,F. Nmecha,13,25,4,1,115000,5980000
353,Central Midfield,J. Bellingham,13,20,0,2,135000,7020000
354,Attacking Midfield,J. Brandt,12,29,4,2,90000,4680000
355,Left Midfield,D. Svensson,13,23,2,0,47000,2444000
356,Right Midfield,Yan Couto,8,23,2,1,91000,4732000
357,Central Midfield,C. Chukwuemeka,8,22,1,1,1150000,59800000
358,Central Midfield,M. Sabitzer,12,31,0,3,145000,7540000
359,Central Midfield,P. Groß,9,34,0,1,108000,5616000
360,Defensive Midfield,S. Özcan,4,27,0,0,72500,3770000
361,Right Winger,K. Adeyemi,11,23,3,3,96000,4992000
362,Centre-Forward,S. Guirassy,12,29,6,4,181000,9412000
363,Centre-Forward,M. Beier,12,23,2,2,80000,4160000
364,Centre-Forward,F. Silva,7,23,1,1,80000,4160000
365,Right Winger,C. Campbell,1,19,0,0,9000,468000
368,Left-Back,V. Mykolenko,8,26,0,0,58000,3016000
369,Right-Back,J. O'Brien,11,24,0,0,35000,1820000
370,Centre-Back,J. Tarkowski,11,32,0,0,120000,6240000
371,Centre-Back,M. Keane,11,32,1,0,80000,4160000
372,Right-Back,S. Coleman,4,37,0,0,55000,2860000
373,Central Midfield,K. Dewsbury-Hall,9,27,1,1,90000,4680000
374,Defensive Midfield,J. Garner,11,24,1,1,30000,1560000
375,Attacking Midfield,M. Röhl,3,23,0,0,15500,806000
376,Central Midfield,C. Alcaraz,9,22,1,0,20000,1040000
377,Central Midfield,T. Iroegbunam,8,22,0,1,20000,1040000
378,Defensive Midfield,I. Gueye,9,36,1,0,120000,6240000
379,Right Winger,I. Ndiaye,11,25,3,1,45000,2340000
380,Right Winger,T. Dibling,6,19,0,0,40000,2080000
381,Centre-Forward,T. Barry,11,23,0,0,45000,2340000
382,Left Winger,J. Grealish,10,30,1,4,225000,11700000
383,Left Winger,D. McNeil,4,25,0,0,25000,1300000
384,Centre-Forward,Beto,11,27,2,0,60000,3120000
386,Centre-Back,P. Comuzzo,8,20,0,0,36000,1872000
387,Right-Back,Dodô,12,26,1,0,37000,1924000
388,Centre-Back,L. Ranieri,11,26,2,0,43000,2236000
389,Right-Back,T. Lamptey,2,25,0,0,45000,2340000
390,Centre-Back,M. Pongracic,11,28,0,0,51000,2652000
391,Left-Back,N. Fortini,5,19,0,1,3000,156000
392,Left-Back,R. Gosens,11,31,2,2,71000,3692000
393,Left-Back,F. Parisi,6,24,0,0,60000,3120000
394,Centre-Back,M. Viti,6,23,0,0,35000,1820000
395,Centre-Back,P. Marí,8,32,0,0,40000,2080000
396,Centre-Back,E. Kouadio,2,19,0,1,2000,104000
397,Central Midfield,N. Fagioli,10,24,0,0,65000,3380000
398,Defensive Midfield,R. Mandragora,11,28,2,0,57000,2964000
399,Central Midfield,S. Sohm,9,24,0,0,32000,1664000
400,Central Midfield,J. Fazzini,10,22,0,0,43000,2236000
401,Central Midfield,H. Nicolussi Caviglia,7,25,0,1,33000,1716000
402,Central Midfield,C. Ndour,8,21,2,2,22000,1144000
403,Attacking Midfield,A. Sabiri,2,28,0,0,28000,1456000
404,Centre-Forward,M. Kean,9,25,2,2,110000,5720000
405,Centre-Forward,R. Piccoli,9,24,1,0,57000,2964000
406,Second Striker,A. Gudmundsson,10,28,3,2,55000,2860000
407,Centre-Forward,E. Džeko,11,39,2,0,65000,3380000
411,Left-Back,N. Brown,12,22,1,2,45000,2340000
412,Centre-Back,A. Theate,12,25,0,0,80000,4160000
413,Centre-Back,R. Koch,13,29,2,1,108000,5616000
414,Centre-Back,N. Collins,10,21,0,0,18000,936000
415,Right-Back,R. Kristensen,8,28,1,0,90000,4680000
416,Centre-Back,A. Amenda,6,22,0,0,16000,832000
417,Right-Back,A. Buta,3,28,0,0,12000,624000
418,Attacking Midfield,Can Uzun,13,19,6,4,25000,1300000
419,Central Midfield,H. Larsson,11,21,0,3,55000,2860000
420,Attacking Midfield,F. Chaïbi,13,22,1,6,36000,1872000
421,Central Midfield,O. Højlund,9,20,0,0,9000,468000
422,Defensive Midfield,E. Skhiri,8,30,0,0,65000,3380000
423,Attacking Midfield,M. Götze,8,33,0,2,80000,4160000
424,Central Midfield,M. Dahoud,1,29,0,0,62000,3224000
425,Centre-Forward,J. Burkardt,12,25,9,1,95000,4940000
426,Left Winger,J. Bahoya,12,20,3,1,21000,1092000
427,Right Winger,R. Doan,13,27,4,4,108000,5616000
428,Centre-Forward,Elye Wahi,9,22,1,3,72500,3770000
429,Right Winger,A. Knauff,13,23,4,1,18000,936000
430,Centre-Forward,M. Batshuayi,6,32,0,0,65000,3380000
433,Left-Back,A. Robinson,4,28,0,0,60000,3120000
434,Centre-Back,C. Bassey,11,25,0,0,45000,2340000
435,Centre-Back,J. Andersen,8,29,0,0,90000,4680000
436,Left-Back,R. Sessegnon,10,25,1,0,45000,2340000
437,Right-Back,K. Tete,6,30,0,0,65000,3380000
438,Right-Back,T. Castagne,10,29,0,1,65000,3380000
439,Centre-Back,Issa Diop,6,28,0,0,70000,3640000
440,Centre-Back,J. Cuenca,6,25,0,0,25000,1300000
441,Attacking Midfield,E. Smith Rowe,11,25,2,0,70000,3640000
442,Defensive Midfield,S. Berge,10,27,0,0,55000,2860000
443,Central Midfield,S. Lukić,10,29,1,2,63000,3276000
444,Central Midfield,Josh King,12,18,1,0,20000,1040000
445,Central Midfield,H. Reed,3,30,0,1,50000,2600000
446,Central Midfield,T. Cairney,9,34,0,0,35000,1820000
447,Left Winger,Kevin,8,22,0,1,50000,2600000
448,Left Winger,A. Iwobi,11,29,1,2,80000,4160000
449,Centre-Forward,Rodrigo Muniz,7,24,1,1,60000,3120000
450,Right Winger,H. Wilson,10,28,1,0,55000,2860000
451,Right Winger,S. Chukwueze,3,26,0,1,120000,6240000
452,Right Winger,A. Traoré,10,29,0,1,70000,3640000
453,Centre-Forward,R. Jiménez,11,34,2,0,100000,5200000
454,Centre-Forward,J. Kusi-Asare,2,18,0,0,25000,1300000
457,Centre-Back,A. Bastoni,10,26,1,3,200000,10400000
458,Left-Back,F. Dimarco,11,27,2,3,143000,7436000
459,Right-Back,D. Dumfries,11,29,3,0,100000,5200000
460,Centre-Back,Y. Bisseck,3,24,0,1,36000,1872000
461,Left-Back,Carlos Augusto,9,26,0,2,54000,2808000
462,Centre-Back,M. Akanji,9,30,0,0,125000,6500000
463,Centre-Back,S. de Vrij,4,33,0,0,135000,7020000
464,Centre-Back,F. Acerbi,7,37,0,0,54000,2808000
465,Right-Back,M. Darmian,2,35,0,0,62000,3224000
466,Central Midfield,N. Barella,10,28,1,2,230000,11960000
467,Central Midfield,D. Frattesi,7,26,0,0,100000,5200000
468,Right Midfield,Luis Henrique,6,23,0,0,75000,3900000
469,Defensive Midfield,H. Çalhanoğlu,9,31,4,2,213000,11076000
470,Central Midfield,P. Sučić,10,22,0,2,53000,2756000
471,Central Midfield,A. Diouf,2,22,0,0,72000,3744000
472,Central Midfield,P. Zieliński,8,31,0,1,160000,8320000
473,Central Midfield,H. Mkhitaryan,8,36,0,0,95000,4940000
474,Centre-Forward,L. Martínez,10,28,6,1,320000,16640000
475,Centre-Forward,M. Thuram,7,28,5,2,150000,7800000
476,Centre-Forward,P. Esposito,9,20,2,1,35000,1820000
477,Centre-Forward,A. Bonny,11,22,3,4,72000,3744000
480,Centre-Back,Bremer,5,28,0,2,180000,9360000
